In,Out,SN,Time,TimeZone,_RoomId,__v,_id
0,1,FB8A8E16,2018-04-09T19:24:35.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2e775ddf69000ed1b416
0,1,FB8A8E16,2018-04-09T19:24:37.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc2e7e5ddf69000ed1b418
1,0,FB8A8E16,2018-04-09T19:32:12.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc303f5ddf69000ed1b419
1,0,FB8A8E16,2018-04-09T19:39:40.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc32005ddf69000ed1b41a
0,1,FB8A8E16,2018-04-09T19:40:35.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc323d5ddf69000ed1b41b
1,0,FB8A8E16,2018-04-09T19:43:51.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc32fc5ddf69000ed1b41c
0,1,FB8A8E16,2018-04-09T19:44:15.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc33125ddf69000ed1b41d
1,0,FB8A8E16,2018-04-09T19:48:14.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc34015ddf69000ed1b41e
1,0,FB8A8E16,2018-04-09T19:48:36.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc341a5ddf69000ed1b41f
0,1,FB8A8E16,2018-04-09T19:49:47.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc34745ddf69000ed1b420
0,1,FB8A8E16,2018-04-09T19:53:55.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc35585ddf69000ed1b422
1,0,FB8A8E16,2018-04-09T19:55:11.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc35a25ddf69000ed1b423
0,1,FB8A8E16,2018-04-09T19:59:45.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc36b65ddf69000ed1b425
0,1,FB8A8E16,2018-04-09T19:59:47.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc36b75ddf69000ed1b426
1,0,FB8A8E16,2018-04-09T19:59:54.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc36bf5ddf69000ed1b427
0,1,FB8A8E16,2018-04-09T20:00:07.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc36c95ddf69000ed1b429
1,0,FB8A8E16,2018-04-09T20:00:10.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc36cc5ddf69000ed1b42a
0,1,FB8A8E16,2018-04-09T20:04:06.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc37b95ddf69000ed1b42c
1,0,FB8A8E16,2018-04-09T20:04:17.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc37c55ddf69000ed1b42d
1,0,FB8A8E16,2018-04-09T20:04:27.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc37d05ddf69000ed1b42e
0,1,FB8A8E16,2018-04-09T20:04:42.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc37de5ddf69000ed1b42f
0,1,FB8A8E16,2018-04-09T20:48:53.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc423a5ddf69000ed1b430
1,0,FB8A8E16,2018-04-09T20:48:58.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc423f5ddf69000ed1b431
0,1,FB8A8E16,2018-04-09T20:54:58.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc44265ddf69000ed1b432
1,0,FB8A8E16,2018-04-09T20:55:07.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc44265ddf69000ed1b433
1,0,FB8A8E16,2018-04-09T20:55:11.000Z,+0800,5aa8c731bfd9f7000e140d2d,0,5acc44265ddf69000ed1b434
